,discriminator_loss,discriminator_yfake_loss,discriminator_yreal_loss,generator_loss,generator_yfake_loss,generator_yreal_loss,loss,val_discriminator_loss,val_discriminator_yfake_loss,val_discriminator_yreal_loss,val_generator_loss,val_generator_yfake_loss,val_generator_yreal_loss,val_loss
179,3.09783673286438,3.6610198642385273e-16,1.0,3.09783673286438,1.0,2.5924775111504072e-18,6.19567346572876,3.0851218700408936,1.1113317907531124e-15,1.0,3.0851218700408936,0.9999998807907104,3.392446363092278e-17,6.170243740081787
180,3.0851218700408936,1.1277142549859578e-15,1.0,3.0851218700408936,0.9999998807907104,1.207747387234587e-17,6.170243740081787,3.072699785232544,2.932566553281264e-15,1.0,3.072699785232544,0.9999998807907104,1.4131074481845134e-16,6.145399570465088
181,3.072699785232544,3.2526905854765283e-15,1.0,3.072699785232544,0.9999998807907104,5.245273363440426e-17,6.145399570465088,3.0604867935180664,1.287693537140467e-14,1.0,3.0604865550994873,0.9999998211860657,5.5314761348481e-16,6.120973587036133
182,3.0604867935180664,9.509329731798282e-15,1.0,3.0604865550994873,0.9999998211860657,2.1347456379272871e-16,6.120973587036133,3.048353910446167,3.4119700066583686e-14,0.9999998807907104,3.048353672027588,0.9999996423721313,2.0475187673541905e-15,6.096707344055176
183,3.048353910446167,3.597654197663204e-14,1.0,3.048353672027588,0.9999996423721313,8.207170100116485e-16,6.096707344055176,3.0361688137054443,1.1957539721840077e-13,0.9999998211860657,3.036168336868286,0.9999993443489075,7.21644288379994e-15,6.0723371505737305
184,3.0361688137054443,1.0294869611741225e-13,0.9999998807907104,3.036168336868286,0.9999994039535522,3.0006406854279606e-15,6.0723371505737305,3.024151563644409,3.5366701971531467e-13,0.9999996423721313,3.024150848388672,0.9999987483024597,2.440863503883669e-14,6.04830265045166
185,3.0241518020629883,3.7523516195278606e-13,0.9999998211860657,3.024150848388672,0.9999988675117493,1.0510299905787737e-14,6.04830265045166,3.0122973918914795,1.0442780537869845e-12,0.9999994039535522,3.012295961380005,0.9999979734420776,7.927476221043089e-14,6.024593353271484
186,3.0122976303100586,1.0005306045474116e-12,0.9999996423721313,3.012296199798584,0.9999980926513672,3.531429434901895e-14,6.024593830108643,3.00099515914917,2.327492799186759e-12,0.9999990463256836,3.000993251800537,0.9999969601631165,2.463396511515753e-13,6.001988410949707
187,3.000995635986328,2.7961118663488715e-12,0.9999993443489075,3.000992774963379,0.9999966621398926,1.1327941487398671e-13,6.001988410949707,2.990133762359619,8.190444850120215e-12,0.9999982714653015,2.9901294708251953,0.9999942779541016,7.301829496944579e-13,5.9802632331848145
188,2.9901342391967773,6.89294238007121e-12,0.9999988675117493,2.9901299476623535,0.9999947547912598,3.461819860720722e-13,5.980264186859131,2.9793031215667725,1.8812819357894028e-11,0.9999971389770508,2.979297399520874,0.9999914169311523,2.0581752448178836e-12,5.9586005210876465
189,2.979304075241089,1.8972021870178324e-11,0.9999979734420776,2.979297399520874,0.9999912977218628,1.0046159867535542e-12,5.958601474761963,2.9682302474975586,3.937942680276585e-11,0.9999954104423523,2.968222141265869,0.9999874830245972,5.510799282182344e-12,5.936452388763428
190,2.968231439590454,4.15044873469661e-11,0.9999967813491821,2.96822190284729,0.9999871253967285,2.767417805332739e-12,5.936453342437744,2.956773042678833,1.1430330987272086e-10,0.9999925494194031,2.956758975982666,0.9999786615371704,1.4170412239444818e-11,5.913532257080078
191,2.956775188446045,9.045869608925727e-11,0.9999946355819702,2.9567618370056152,0.9999812245368958,7.306239814541815e-12,5.91353702545166,2.94547438621521,2.2662036136544828e-10,0.9999882578849792,2.945456027984619,0.9999699592590332,3.529982556260691e-11,5.89093017578125
192,2.9454774856567383,2.7861407625451307e-10,0.9999915361404419,2.945452928543091,0.9999668002128601,1.8663903755822275e-11,5.89093017578125,2.9351861476898193,4.88687312838465e-10,0.9999817609786987,2.9351603984832764,0.9999561309814453,8.508381499350293e-11,5.870346546173096
193,2.9351909160614014,4.760024596706103e-10,0.9999866485595703,2.9351608753204346,0.9999566078186035,4.6085385507765864e-11,5.870351791381836,2.925095558166504,1.0543550477137842e-09,0.9999720454216003,2.9250588417053223,0.9999353289604187,1.996704190876386e-10,5.850154399871826
194,2.925102710723877,9.445211279768273e-10,0.9999791979789734,2.9250621795654297,0.9999388456344604,1.1072694150460194e-10,5.850164890289307,2.9147086143493652,2.015845712577402e-09,0.9999576807022095,2.914661407470703,0.9999105334281921,4.5631676215407424e-10,5.829370021820068
195,2.9147191047668457,2.4320556679668925e-09,0.9999681711196899,2.9146528244018555,0.9999018907546997,2.58872201452931e-10,5.829371929168701,2.9039394855499268,4.625840155370042e-09,0.9999369382858276,2.90386700630188,0.999864399433136,1.0136529393633964e-09,5.807806491851807
196,2.90395450592041,4.862423352847145e-09,0.9999520182609558,2.9038634300231934,0.999860942363739,5.878101339007458e-10,5.8078179359436035,2.8934147357940674,9.248623200619477e-09,0.9999071359634399,2.8933157920837402,0.9998083114624023,2.1974553288117704e-09,5.786730766296387
197,2.8934361934661865,9.221180263807582e-09,0.9999285936355591,2.8933160305023193,0.9998084902763367,1.30163568812236e-09,5.786752223968506,2.8834643363952637,1.6332979413391513e-08,0.999864399433136,2.88334584236145,0.9997459650039673,4.6790225027848464e-09,5.766810417175293
198,2.8834943771362305,1.6651863887773288e-08,0.9998944997787476,2.8833446502685547,0.999744713306427,2.8290298992317275e-09,5.766839027404785,2.8737895488739014,2.994177350501559e-08,0.9998031854629517,2.8736414909362793,0.9996553659439087,9.831249592195945e-09,5.747430801391602
199,2.8738319873809814,3.323472697047691e-08,0.9998456239700317,2.873623847961426,0.9996376037597656,6.064814872530633e-09,5.747455596923828,2.8638370037078857,6.190118995164084e-08,0.9997162818908691,2.8636245727539062,0.9995037913322449,2.0403712497341076e-08,5.727461814880371
